Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2025-04-17_10:55:39,48.0,48.0,43.0,43.0,43.0,42.0,42.0,43.0,43.0,3281.2,1498.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.5,77.8,0.0,0.0,0.0,5.3,0.0,5.6,5.3,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,9.9,3.8,0,0.7
2025-04-17_10:55:39,48.0,48.0,43.0,43.0,43.0,42.0,42.0,43.0,43.0,3404.0,3463.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.5,34.8,0.0,0.0,4.5,4.5,0.0,13.6,4.5,0.0,0.0,0.0,4.8,0.0,0.0,4.3,0.0,11.3,5.3,0,0.7
2025-04-17_10:55:39,48.0,48.0,43.0,43.0,43.0,42.0,42.0,43.0,43.0,3250.0,1000.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.1,34.8,4.2,4.2,8.7,13.0,0.0,8.3,8.3,4.2,0.0,4.2,8.3,0.0,0.0,0.0,0.0,8.8,2.8,0,0.8
2025-04-17_10:55:40,48.0,48.0,43.0,43.0,43.0,42.0,42.0,43.0,43.0,3311.7,1987.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.7,33.3,0.0,4.5,22.7,8.7,4.5,9.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,9.1,4.8,11.2,5.1,0,0.8
2025-04-17_10:55:40,48.0,48.0,43.0,43.0,43.0,42.0,42.0,43.0,43.0,3353.5,2656.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.5,27.3,0.0,4.5,4.8,13.6,0.0,13.6,0.0,0.0,4.3,4.5,9.1,0.0,0.0,4.8,0.0,9.8,3.7,0,0.8
2025-04-17_10:55:40,44.0,43.0,42.0,42.0,42.0,41.0,42.0,42.0,42.0,3161.2,999.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.1,28.0,0.0,0.0,4.0,8.3,4.0,12.0,0.0,0.0,0.0,4.0,8.0,4.0,0.0,11.5,4.2,8.4,2.4,0,0.8
2025-04-17_10:55:40,44.0,43.0,42.0,42.0,42.0,41.0,42.0,42.0,42.0,3340.1,3476.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1246.0,3400.0,3400.0,9.1,27.3,4.3,8.3,4.3,4.3,4.3,30.4,4.3,0.0,4.3,13.6,4.5,8.7,20.0,9.1,16.7,16.4,10.3,0,0.8
2025-04-17_10:55:41,44.0,43.0,42.0,42.0,42.0,41.0,42.0,42.0,42.0,2777.5,3400.0,2144.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1963.9,9.9,18.2,4.3,0.0,4.3,9.1,8.7,13.0,4.3,4.5,0.0,0.0,9.1,21.7,9.1,4.3,22.7,9.7,5.7,0,1.0
2025-04-17_10:55:41,44.0,43.0,42.0,42.0,42.0,41.0,42.0,42.0,42.0,3236.9,2600.7,2978.7,3400.0,3400.0,3400.0,3400.0,1272.0,3400.0,3400.0,3400.0,1193.4,3400.0,3400.0,3400.0,1574.0,3400.0,7.7,9.1,23.8,4.5,4.5,0.0,17.4,13.6,4.3,8.7,4.5,12.5,8.7,13.6,4.5,16.7,0.0,6.9,3.7,0,0.9
2025-04-17_10:55:41,44.0,43.0,42.0,42.0,42.0,41.0,42.0,42.0,42.0,3310.8,3400.0,1972.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.6,4.5,33.3,8.7,4.3,4.3,4.3,9.1,0.0,0.0,4.3,0.0,4.5,0.0,0.0,0.0,0.0,6.7,3.6,0,0.8
