Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2025-04-17_10:24:59,49.0,49.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0,3412.1,3400.0,3400.0,1118.1,3400.0,3400.0,3400.0,3400.0,3400.0,3593.9,3604.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.4,0.0,0.0,6.7,0.0,6.7,0.0,0.0,0.0,80.0,6.7,7.1,6.3,0.0,0.0,0.0,0.0,17.2,11.1,0,0.7
2025-04-17_10:25:00,49.0,49.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0,3423.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3783.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.8,0.0,0.0,4.3,0.0,4.5,4.5,4.3,4.5,30.4,4.5,17.4,0.0,4.3,0.0,0.0,0.0,11.3,5.2,0,0.8
2025-04-17_10:25:00,49.0,49.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0,3316.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,999.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.7,0.0,12.0,0.0,0.0,0.0,0.0,0.0,7.7,33.3,4.2,12.0,0.0,0.0,8.0,0.0,4.0,9.0,3.0,0,0.7
2025-04-17_10:25:00,49.0,49.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0,3304.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1650.1,3400.0,1870.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.5,0.0,9.1,4.3,8.7,4.3,4.2,4.3,0.0,34.8,4.5,9.1,0.0,0.0,0.0,0.0,0.0,10.3,4.2,0,0.8
2025-04-17_10:25:00,49.0,49.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0,3200.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1908.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.0,4.3,4.5,4.5,0.0,4.5,0.0,0.0,0.0,36.4,8.3,13.6,0.0,0.0,0.0,0.0,0.0,9.2,3.2,0,0.7
2025-04-17_10:25:00,46.0,44.0,46.0,43.0,44.0,43.0,42.0,43.0,43.0,3192.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3600.0,3600.0,3400.0,3600.0,3400.0,3400.0,3400.0,3400.0,7.5,22.7,12.0,0.0,0.0,4.5,0.0,4.3,0.0,30.4,13.6,14.3,13.0,0.0,4.3,0.0,4.3,11.1,5.0,0,0.9
2025-04-17_10:25:01,46.0,44.0,46.0,43.0,44.0,43.0,42.0,43.0,43.0,3408.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3541.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,22.7,13.6,4.5,13.0,0.0,0.0,14.0,7.9,0,0.8
2025-04-17_10:25:01,46.0,44.0,46.0,43.0,44.0,43.0,42.0,43.0,43.0,3346.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2567.2,998.8,3400.0,3400.0,3400.0,3400.0,4.7,8.3,8.0,0.0,4.0,4.0,0.0,0.0,4.2,0.0,20.8,12.5,12.0,0.0,0.0,4.2,0.0,9.3,3.2,0,0.8
2025-04-17_10:25:01,46.0,44.0,46.0,43.0,44.0,43.0,42.0,43.0,43.0,2877.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1867.6,1175.9,1123.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.1,0.0,8.7,0.0,4.5,0.0,4.3,0.0,4.3,37.5,18.2,4.5,4.5,0.0,4.2,4.5,4.5,8.6,2.6,0,0.8
2025-04-17_10:25:01,46.0,44.0,46.0,43.0,44.0,43.0,42.0,43.0,43.0,3301.6,1725.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3500.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.4,0.0,4.3,0.0,4.3,0.0,0.0,0.0,0.0,27.3,8.7,8.3,0.0,0.0,9.1,4.2,4.3,9.9,3.8,0,0.7
2025-04-17_10:25:02,57.0,45.0,45.0,45.0,46.0,45.0,58.0,44.0,45.0,3491.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3957.9,3400.0,3400.0,3400.0,3400.0,4300.0,3400.0,3400.0,42.1,38.1,38.1,36.4,38.1,38.1,35.0,38.1,36.4,38.1,45.5,35.0,38.1,40.9,100.0,38.1,33.3,44.6,38.5,0,0.8
2025-04-17_10:25:02,57.0,45.0,45.0,45.0,46.0,45.0,58.0,44.0,45.0,3510.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4529.5,3400.0,3400.0,3400.0,3400.0,4036.7,3400.0,3400.0,8.3,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,4.5,0.0,0.0,95.2,4.5,4.5,29.2,23.2,0,0.8
2025-04-17_10:25:02,57.0,45.0,45.0,45.0,46.0,45.0,58.0,44.0,45.0,3467.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4008.9,3400.0,3400.0,3400.0,3400.0,3875.1,3400.0,3400.0,32.7,28.6,28.6,23.8,27.3,25.0,28.6,27.3,27.3,45.5,31.8,28.6,25.0,31.8,95.2,28.6,25.0,33.3,27.3,0,0.9
2025-04-17_10:25:02,57.0,45.0,45.0,45.0,46.0,45.0,58.0,44.0,45.0,3522.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3857.0,3400.0,3400.0,3400.0,3400.0,4408.9,3400.0,3400.0,8.8,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,4.8,0.0,0.0,100.0,0.0,4.5,29.7,23.7,0,0.8
2025-04-17_10:25:02,57.0,45.0,45.0,45.0,46.0,45.0,58.0,44.0,45.0,3514.3,3400.0,3400.0,3400.0,3400.0,3400.0,1169.7,3400.0,3400.0,4547.9,3400.0,3400.0,3400.0,3400.0,4081.7,3400.0,3400.0,9.3,4.8,4.5,4.8,0.0,0.0,0.0,0.0,0.0,15.0,9.5,4.8,0.0,0.0,100.0,0.0,0.0,26.1,19.9,0,1.0
2025-04-17_10:25:03,60.0,45.0,46.0,45.0,45.0,44.0,59.0,45.0,45.0,3487.6,3400.0,3400.0,3556.3,3400.0,3400.0,3400.0,3400.0,3400.0,3870.4,3400.0,3400.0,3400.0,3400.0,4331.1,3400.0,3400.0,8.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,4.8,0.0,4.5,0.0,100.0,8.7,0.0,28.1,22.1,0,0.8
2025-04-17_10:25:03,60.0,45.0,46.0,45.0,45.0,44.0,59.0,45.0,45.0,3550.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.2,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,15.0,9.1,0.0,0.0,0.0,100.0,0.0,8.7,31.7,25.5,0,0.7
2025-04-17_10:25:03,60.0,45.0,46.0,45.0,45.0,44.0,59.0,45.0,45.0,3550.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.1,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,14.3,5.0,4.5,0.0,0.0,100.0,0.0,0.0,31.6,25.7,0,0.7
2025-04-17_10:25:03,60.0,45.0,46.0,45.0,45.0,44.0,59.0,45.0,45.0,3550.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,8.4,4.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.8,9.1,0.0,0.0,100.0,0.0,0.0,31.9,25.8,0,0.7
