Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2025-04-17_10:45:23,47.0,43.0,42.0,47.0,42.0,43.0,41.0,42.0,42.0,3340.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2450.7,3400.0,3400.0,3400.0,3400.0,3400.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,0.0,6.7,7.1,0.0,7.1,13.9,8.1,0,0.6
2025-04-17_10:45:23,47.0,43.0,42.0,47.0,42.0,43.0,41.0,42.0,42.0,3242.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,999.5,3400.0,3400.0,3400.0,3400.0,3400.0,4.0,0.0,0.0,0.0,0.0,0.0,8.3,8.3,0.0,0.0,0.0,34.8,4.2,4.3,8.3,0.0,0.0,10.8,4.7,0,0.7
2025-04-17_10:45:24,47.0,43.0,42.0,47.0,42.0,43.0,41.0,42.0,42.0,3249.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,995.6,3400.0,3400.0,3400.0,3400.0,3400.0,5.8,0.0,4.3,0.0,0.0,4.2,8.7,4.3,4.0,0.0,0.0,37.5,4.3,4.3,12.5,0.0,0.0,8.8,2.7,0,0.8
2025-04-17_10:45:24,47.0,43.0,42.0,47.0,42.0,43.0,41.0,42.0,42.0,3249.6,3400.0,3400.0,999.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,7.6,11.1,8.0,8.0,0.0,4.0,4.2,7.7,0.0,4.2,8.0,30.8,4.0,4.2,8.3,0.0,28.0,9.7,3.6,0,0.8
2025-04-17_10:45:24,47.0,43.0,42.0,47.0,42.0,43.0,41.0,42.0,42.0,2766.2,3400.0,3400.0,1918.6,3400.0,3400.0,3400.0,1234.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.2,8.7,4.5,36.4,4.3,0.0,8.7,4.5,0.0,8.7,4.3,8.7,0.0,16.7,0.0,0.0,4.5,8.5,2.5,0,0.8
2025-04-17_10:45:24,42.0,42.0,42.0,42.0,42.0,41.0,41.0,42.0,42.0,3318.0,3400.0,3400.0,1988.3,3400.0,3400.0,3400.0,3500.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.0,0.0,4.3,31.8,9.1,0.0,4.5,8.7,0.0,4.3,4.3,0.0,0.0,16.7,0.0,0.0,0.0,8.9,2.8,0,0.8
2025-04-17_10:45:24,42.0,42.0,42.0,42.0,42.0,41.0,41.0,42.0,42.0,3123.7,3400.0,1295.6,3400.0,3400.0,3400.0,3400.0,1002.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,8.8,13.6,4.3,4.3,9.1,0.0,8.3,29.2,0.0,4.5,0.0,18.2,21.7,13.0,8.7,4.3,4.3,11.4,5.3,0,0.8
2025-04-17_10:45:25,42.0,42.0,42.0,42.0,42.0,41.0,41.0,42.0,42.0,3321.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,998.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.3,12.5,8.7,0.0,4.2,0.0,0.0,30.4,0.0,8.7,0.0,4.2,4.0,4.2,4.2,13.0,0.0,7.2,3.2,0,0.8
2025-04-17_10:45:25,42.0,42.0,42.0,42.0,42.0,41.0,41.0,42.0,42.0,2962.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,999.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.3,4.2,4.0,7.4,4.0,7.7,0.0,30.8,0.0,7.7,3.8,4.0,0.0,4.2,0.0,12.0,0.0,5.4,2.3,0,0.8
2025-04-17_10:45:25,42.0,42.0,42.0,42.0,42.0,41.0,41.0,42.0,42.0,3306.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1901.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.2,0.0,0.0,0.0,0.0,4.3,0.0,33.3,4.2,4.5,0.0,4.3,0.0,4.3,4.2,13.0,0.0,5.9,2.7,0,0.7
2025-04-17_10:45:25,43.0,42.0,43.0,42.0,41.0,41.0,41.0,42.0,42.0,3189.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1943.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.6,0.0,8.3,0.0,4.2,0.0,0.0,34.8,0.0,8.3,0.0,0.0,0.0,4.5,0.0,8.7,0.0,6.0,2.8,0,0.7
2025-04-17_10:45:26,43.0,42.0,43.0,42.0,41.0,41.0,41.0,42.0,42.0,3312.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1995.9,3400.0,3400.0,3400.0,1598.8,1298.0,1273.2,1355.4,3400.0,3400.0,5.8,4.3,0.0,4.3,8.3,8.7,0.0,37.5,4.5,9.1,0.0,4.3,4.3,8.3,4.3,9.1,0.0,6.5,3.3,0,0.9
2025-04-17_10:45:26,43.0,42.0,43.0,42.0,41.0,41.0,41.0,42.0,42.0,3324.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2193.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.7,4.3,4.3,0.0,0.0,4.5,0.0,36.4,4.5,0.0,0.0,0.0,0.0,0.0,0.0,8.7,4.3,6.5,3.3,0,0.8
2025-04-17_10:45:26,43.0,42.0,43.0,42.0,41.0,41.0,41.0,42.0,42.0,3307.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,997.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.5,4.2,4.2,0.0,0.0,0.0,0.0,30.4,8.3,0.0,0.0,4.2,4.2,8.3,4.0,13.0,0.0,5.4,2.2,0,0.7
2025-04-17_10:45:26,43.0,42.0,43.0,42.0,41.0,41.0,41.0,42.0,42.0,3184.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1928.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.3,0.0,8.3,4.3,8.7,4.3,0.0,36.4,4.5,0.0,0.0,4.3,4.3,4.3,0.0,9.1,0.0,5.9,2.7,0,0.7
2025-04-17_10:45:27,49.0,48.0,48.0,47.0,49.0,48.0,48.0,49.0,48.0,3642.9,3643.8,3643.7,3643.6,3643.4,3643.3,3643.1,3643.1,3642.9,3642.8,3642.7,3642.6,3642.4,3642.3,3642.2,3642.1,3641.9,31.9,30.4,27.3,27.3,30.4,27.3,30.4,56.5,30.4,30.4,30.4,34.8,30.4,33.3,30.4,37.5,30.4,19.7,13.8,0,0.7
