Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2025-04-17_10:36:01,51.0,47.0,47.0,47.0,47.0,52.0,46.0,46.0,47.0,3379.1,3400.0,3400.0,3400.0,3400.0,3065.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.9,0.0,0.0,0.0,0.0,72.2,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,5.9,0.0,0.0,12.2,6.1,0,0.7
2025-04-17_10:36:01,51.0,47.0,47.0,47.0,47.0,52.0,46.0,46.0,47.0,3402.5,3400.0,3400.0,3400.0,3400.0,3440.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.8,0.0,0.0,4.5,0.0,28.6,4.3,8.7,4.5,0.0,4.2,4.3,0.0,0.0,8.7,0.0,0.0,11.4,5.4,0,0.7
2025-04-17_10:36:02,51.0,47.0,47.0,47.0,47.0,52.0,46.0,46.0,47.0,3249.7,3400.0,3400.0,3400.0,3400.0,999.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.8,3.8,0.0,4.2,0.0,34.6,0.0,4.2,4.2,0.0,4.0,0.0,7.7,0.0,12.5,4.0,4.0,9.2,3.1,0,0.8
2025-04-17_10:36:02,51.0,47.0,47.0,47.0,47.0,52.0,46.0,46.0,47.0,3091.8,3400.0,3400.0,3400.0,3400.0,995.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.8,0.0,0.0,0.0,0.0,34.8,4.2,8.3,0.0,0.0,0.0,4.2,4.3,0.0,8.7,4.3,0.0,8.7,2.7,0,0.7
2025-04-17_10:36:02,47.0,46.0,46.0,46.0,47.0,46.0,46.0,46.0,46.0,3044.3,1205.9,3400.0,3400.0,3400.0,1920.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1296.8,3400.0,3400.0,5.9,0.0,8.3,4.3,0.0,31.8,4.5,9.1,0.0,0.0,0.0,0.0,0.0,4.3,13.0,8.7,0.0,8.5,2.4,0,0.8
2025-04-17_10:36:02,47.0,46.0,46.0,46.0,47.0,46.0,46.0,46.0,46.0,3311.1,3400.0,3400.0,3400.0,3400.0,1978.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.8,0.0,0.0,0.0,4.3,34.8,0.0,4.5,4.3,4.5,0.0,0.0,8.3,4.5,9.1,4.5,0.0,9.1,3.0,0,0.8
2025-04-17_10:36:02,47.0,46.0,46.0,46.0,47.0,46.0,46.0,46.0,46.0,3306.3,3400.0,3400.0,3400.0,3400.0,996.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.6,4.2,0.0,4.2,0.0,27.3,4.3,8.7,8.3,0.0,0.0,8.0,4.3,0.0,13.0,4.3,0.0,8.5,2.5,0,0.8
2025-04-17_10:36:03,47.0,46.0,46.0,46.0,47.0,46.0,46.0,46.0,46.0,2986.4,3400.0,3400.0,3400.0,3400.0,1000.0,3400.0,3400.0,3400.0,1000.0,3400.0,3400.0,3400.0,3400.0,1458.7,3400.0,3400.0,7.5,4.0,0.0,4.2,4.0,32.0,0.0,14.8,16.0,20.0,4.0,4.0,4.0,0.0,15.4,12.0,8.3,10.8,4.7,0,0.8
2025-04-17_10:36:03,47.0,46.0,46.0,46.0,47.0,46.0,46.0,46.0,46.0,3304.6,3400.0,3400.0,3400.0,3400.0,1873.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,9.0,4.5,0.0,22.7,4.5,31.8,8.7,0.0,0.0,4.3,4.3,4.5,0.0,20.8,9.5,4.5,18.2,6.8,3.3,0,0.8
2025-04-17_10:36:03,48.0,47.0,47.0,46.0,47.0,46.0,46.0,46.0,46.0,3249.3,3400.0,3400.0,3400.0,3400.0,989.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.8,0.0,0.0,4.2,8.3,33.3,4.3,0.0,4.3,0.0,4.2,0.0,0.0,12.5,12.5,4.3,4.2,5.8,2.7,0,0.8
2025-04-17_10:36:03,48.0,47.0,47.0,46.0,47.0,46.0,46.0,46.0,46.0,3249.1,3400.0,3400.0,3400.0,3400.0,985.7,1182.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1000.0,1000.0,3400.0,5.3,0.0,0.0,4.3,4.3,33.3,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,4.2,0.0,5.8,2.6,0,0.8
