Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2025-04-17_10:22:25,51.0,44.0,45.0,44.0,51.0,43.0,43.0,43.0,44.0,3334.3,3400.0,3400.0,3400.0,2349.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,7.1,0.0,6.3,7.1,80.0,6.7,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.3,0,0.7
2025-04-17_10:22:26,51.0,44.0,45.0,44.0,51.0,43.0,43.0,43.0,44.0,3367.3,3400.0,3400.0,3400.0,2877.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1557.6,3400.0,3400.0,3400.0,3400.0,3400.0,5.9,0.0,0.0,9.1,50.0,4.5,8.7,0.0,0.0,9.1,0.0,4.3,0.0,0.0,0.0,4.3,0.0,14.1,7.9,0,0.9
2025-04-17_10:22:26,51.0,44.0,45.0,44.0,51.0,43.0,43.0,43.0,44.0,3252.7,3400.0,3400.0,3400.0,1057.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1312.5,3400.0,3400.0,3400.0,3400.0,9.3,4.0,8.3,12.0,33.3,4.2,28.0,4.0,7.7,8.3,15.4,0.0,4.0,0.0,0.0,16.0,4.0,10.6,4.5,0,0.8
2025-04-17_10:22:26,51.0,44.0,45.0,44.0,51.0,43.0,43.0,43.0,44.0,3242.1,3400.0,3400.0,3400.0,1067.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,8.0,4.3,12.5,12.5,27.3,8.7,0.0,12.5,8.7,0.0,0.0,17.4,12.5,4.3,4.2,13.0,8.3,10.9,4.8,0,0.8
2025-04-17_10:22:26,51.0,44.0,45.0,44.0,51.0,43.0,43.0,43.0,44.0,3250.0,3400.0,3400.0,3400.0,999.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.6,0.0,0.0,9.1,33.3,8.3,0.0,8.3,0.0,0.0,8.7,4.3,0.0,8.7,0.0,0.0,0.0,8.5,2.5,0,0.8
2025-04-17_10:22:27,44.0,44.0,43.0,43.0,44.0,42.0,43.0,43.0,43.0,3178.0,3400.0,3400.0,3400.0,1875.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.9,0.0,4.8,9.1,31.8,9.1,0.0,0.0,4.3,4.5,4.5,8.3,4.3,0.0,4.3,0.0,0.0,8.5,2.5,0,0.8
2025-04-17_10:22:27,44.0,44.0,43.0,43.0,44.0,42.0,43.0,43.0,43.0,3287.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1623.0,1369.7,3400.0,3400.0,3400.0,3400.0,3400.0,1593.5,5.1,4.2,4.2,12.5,26.1,4.3,8.0,4.3,4.3,4.0,8.3,0.0,0.0,4.2,0.0,0.0,8.3,8.8,2.8,0,0.7
2025-04-17_10:22:27,44.0,44.0,43.0,43.0,44.0,42.0,43.0,43.0,43.0,3365.7,1215.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2850.8,4.3,0.0,4.8,9.5,4.3,9.5,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,8.7,22.7,8.8,2.7,0,0.8
2025-04-17_10:22:27,44.0,44.0,43.0,43.0,44.0,42.0,43.0,43.0,43.0,3550.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,4600.0,40.8,36.4,34.8,43.5,33.3,34.8,34.8,36.4,34.8,34.8,41.7,37.5,76.2,34.8,36.4,36.4,60.9,44.4,38.4,0,0.8
2025-04-17_10:22:27,44.0,44.0,43.0,43.0,44.0,42.0,43.0,43.0,43.0,3536.1,3400.0,3400.0,3400.0,4378.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,8.7,9.1,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,30.8,24.7,0,0.8
