Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2025-04-17_10:54:09,47.0,48.0,43.0,44.0,43.0,42.0,43.0,42.0,42.0,3412.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.2,0.0,6.7,0.0,0.0,0.0,7.1,0.0,0.0,78.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,12.6,0,0.7
2025-04-17_10:54:09,47.0,48.0,43.0,44.0,43.0,42.0,43.0,42.0,42.0,3422.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3760.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.1,4.3,4.5,0.0,0.0,8.7,12.5,0.0,0.0,29.2,0.0,0.0,4.5,0.0,0.0,0.0,4.3,12.0,5.9,0,0.7
2025-04-17_10:54:09,47.0,48.0,43.0,44.0,43.0,42.0,43.0,42.0,42.0,3249.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,998.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.7,0.0,4.2,4.2,0.0,4.2,8.3,4.0,0.0,34.8,4.0,0.0,4.2,0.0,0.0,4.2,0.0,9.1,3.1,0,0.8
2025-04-17_10:54:09,47.0,48.0,43.0,44.0,43.0,42.0,43.0,42.0,42.0,2857.5,3400.0,3400.0,3400.0,3400.0,3400.0,2203.7,3400.0,3400.0,999.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.4,8.3,8.3,13.0,0.0,4.3,8.7,0.0,4.2,30.4,4.2,4.2,8.3,0.0,0.0,4.3,0.0,11.3,5.3,0,0.8
2025-04-17_10:54:10,47.0,48.0,43.0,44.0,43.0,42.0,43.0,42.0,42.0,3301.3,3400.0,1245.5,3400.0,3400.0,3400.0,1381.4,3400.0,3400.0,1820.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.7,0.0,4.3,8.3,0.0,8.7,8.7,8.0,0.0,34.8,0.0,8.3,0.0,0.0,0.0,4.3,0.0,9.0,2.9,0,0.8
2025-04-17_10:54:10,43.0,43.0,42.0,42.0,41.0,41.0,42.0,42.0,42.0,2978.5,3400.0,3400.0,3400.0,3400.0,997.6,1000.0,3400.0,3400.0,995.9,3400.0,3400.0,1312.4,3400.0,3400.0,3400.0,3400.0,5.3,0.0,4.3,4.3,8.0,8.7,13.0,0.0,0.0,33.3,0.0,4.3,0.0,0.0,8.0,0.0,0.0,8.9,2.9,0,0.8
2025-04-17_10:54:10,43.0,43.0,42.0,42.0,41.0,41.0,42.0,42.0,42.0,3167.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1908.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1171.5,5.6,4.3,4.3,0.0,9.1,4.5,9.1,4.5,0.0,36.4,0.0,4.5,12.5,0.0,4.5,8.3,4.5,9.2,3.1,0,0.8
2025-04-17_10:54:10,43.0,43.0,42.0,42.0,41.0,41.0,42.0,42.0,42.0,3305.6,3400.0,1396.0,3400.0,3400.0,3400.0,1408.2,3400.0,3400.0,1889.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.4,0.0,9.1,4.3,4.3,0.0,13.0,8.7,4.5,31.8,0.0,9.1,0.0,8.3,4.3,0.0,4.5,7.6,3.2,0,0.8
2025-04-17_10:54:11,43.0,43.0,42.0,42.0,41.0,41.0,42.0,42.0,42.0,3312.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2908.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.5,0.0,4.3,0.0,4.5,0.0,4.3,0.0,4.3,30.4,0.0,4.3,8.3,0.0,0.0,9.1,8.3,7.9,4.7,0,0.9
2025-04-17_10:54:11,43.0,43.0,42.0,42.0,41.0,41.0,42.0,42.0,42.0,3190.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2198.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.4,0.0,4.5,4.5,0.0,0.0,9.5,4.5,0.0,28.6,0.0,4.8,0.0,0.0,0.0,0.0,4.5,6.4,3.2,0,0.8
2025-04-17_10:54:11,43.0,43.0,43.0,41.0,41.0,42.0,41.0,42.0,42.0,3098.7,3400.0,3400.0,3400.0,1370.6,3400.0,948.7,3400.0,3400.0,994.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.8,0.0,4.3,0.0,4.3,11.5,12.5,8.3,0.0,33.3,0.0,4.2,0.0,0.0,0.0,4.2,0.0,6.1,2.9,0,0.8
2025-04-17_10:54:11,43.0,43.0,43.0,41.0,41.0,42.0,41.0,42.0,42.0,3320.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2133.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.6,4.5,4.5,9.5,9.1,14.3,4.5,0.0,4.5,34.8,0.0,0.0,0.0,0.0,13.6,9.5,0.0,10.0,6.9,0,0.8
2025-04-17_10:54:11,43.0,43.0,43.0,41.0,41.0,42.0,41.0,42.0,42.0,3249.6,3400.0,3400.0,3400.0,3400.0,3400.0,2036.0,3400.0,3400.0,993.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.3,0.0,0.0,12.0,0.0,8.3,8.7,4.3,0.0,29.2,0.0,4.2,4.2,0.0,4.3,0.0,4.3,7.6,4.4,0,0.8
2025-04-17_10:54:12,43.0,43.0,43.0,41.0,41.0,42.0,41.0,42.0,42.0,3024.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,998.5,4.5,0.0,4.3,4.3,0.0,8.3,8.3,8.0,4.0,4.2,0.0,0.0,0.0,0.0,4.3,0.0,25.0,6.3,3.1,0,0.8
2025-04-17_10:54:12,43.0,43.0,43.0,41.0,41.0,42.0,41.0,42.0,42.0,3303.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1860.4,4.5,0.0,4.5,0.0,0.0,4.3,9.1,4.5,0.0,0.0,0.0,0.0,0.0,4.3,4.3,4.5,31.8,5.8,2.6,0,0.7
2025-04-17_10:54:12,43.0,42.0,42.0,41.0,41.0,42.0,41.0,42.0,42.0,2999.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,999.3,4.0,0.0,4.0,0.0,0.0,7.7,8.0,4.0,0.0,0.0,0.0,7.7,4.0,0.0,0.0,4.0,38.5,8.1,2.8,0,0.7
2025-04-17_10:54:12,43.0,42.0,42.0,41.0,41.0,42.0,41.0,42.0,42.0,3249.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1280.4,3400.0,3400.0,994.8,4.8,0.0,0.0,0.0,4.2,4.3,8.7,4.3,0.0,4.2,0.0,0.0,8.3,0.0,4.2,4.2,30.4,8.8,2.7,0,0.8
2025-04-17_10:54:13,43.0,42.0,42.0,41.0,41.0,42.0,41.0,42.0,42.0,3550.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.2,9.1,4.3,0.0,4.2,0.0,4.3,12.5,0.0,0.0,81.8,4.3,8.3,0.0,4.3,4.2,0.0,29.2,21.9,15.8,0,0.8
2025-04-17_10:54:13,43.0,42.0,42.0,41.0,41.0,42.0,41.0,42.0,42.0,3550.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,8.2,0.0,0.0,0.0,0.0,4.8,4.8,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,30.2,24.1,0,0.8
2025-04-17_10:54:13,43.0,42.0,42.0,41.0,41.0,42.0,41.0,42.0,42.0,3550.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,8.6,0.0,0.0,0.0,0.0,0.0,4.8,8.7,0.0,100.0,0.0,0.0,0.0,4.5,0.0,0.0,17.4,30.7,24.6,0,0.8
2025-04-17_10:54:13,52.0,52.0,44.0,44.0,43.0,44.0,43.0,44.0,45.0,3549.8,4597.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,8.1,61.9,0.0,0.0,0.0,9.1,4.8,0.0,0.0,30.0,0.0,0.0,4.5,0.0,0.0,4.5,15.0,29.6,23.5,0,0.8
2025-04-17_10:54:13,52.0,52.0,44.0,44.0,43.0,44.0,43.0,44.0,45.0,3550.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.1,8.3,100.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,4.3,4.5,0.0,0.0,0.0,0.0,13.6,30.0,24.0,0,0.8
2025-04-17_10:54:14,52.0,52.0,44.0,44.0,43.0,44.0,43.0,44.0,45.0,3549.9,4598.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,7.5,90.5,0.0,0.0,0.0,4.8,4.8,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,15.0,29.0,23.0,0,0.8
