Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2025-04-17_10:37:59,50.0,45.0,47.0,44.0,50.0,44.0,45.0,46.0,45.0,3267.9,3400.0,3400.0,3400.0,3600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.8,0.0,0.0,0.0,91.7,0.0,0.0,0.0,0.0,0.0,7.7,7.7,0.0,0.0,0.0,0.0,0.0,18.4,12.1,0,0.7
2025-04-17_10:37:59,50.0,45.0,47.0,44.0,50.0,44.0,45.0,46.0,45.0,3249.7,3400.0,3400.0,3400.0,998.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.3,0.0,0.0,0.0,26.9,7.7,0.0,0.0,4.2,0.0,0.0,0.0,4.0,0.0,8.0,11.5,0.0,10.9,4.8,0,0.7
2025-04-17_10:37:59,50.0,45.0,47.0,44.0,50.0,44.0,45.0,46.0,45.0,3100.0,3400.0,3400.0,1000.0,1000.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,7.2,4.2,4.2,17.4,36.4,0.0,0.0,0.0,12.5,4.2,12.5,8.0,0.0,4.2,8.3,16.7,4.2,8.8,2.7,0,0.8
2025-04-17_10:37:59,50.0,45.0,47.0,44.0,50.0,44.0,45.0,46.0,45.0,3277.1,3400.0,3400.0,3400.0,2745.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.9,4.5,0.0,17.4,21.7,0.0,0.0,0.0,18.2,0.0,4.3,0.0,4.5,0.0,0.0,8.7,0.0,12.7,6.6,0,0.8
2025-04-17_10:38:00,50.0,45.0,47.0,44.0,50.0,44.0,45.0,46.0,45.0,3153.7,3400.0,3400.0,3400.0,2813.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.2,4.8,4.8,13.6,23.8,4.5,0.0,0.0,0.0,0.0,4.8,0.0,4.8,0.0,4.5,9.5,4.5,10.0,4.5,0,0.8
2025-04-17_10:38:00,46.0,45.0,46.0,45.0,46.0,45.0,44.0,45.0,44.0,3306.4,3400.0,3400.0,3400.0,1902.3,3400.0,3400.0,3400.0,3400.0,3400.0,1126.2,3400.0,1162.3,3400.0,3400.0,3400.0,3400.0,4.7,8.7,4.5,4.3,34.8,0.0,0.0,0.0,0.0,0.0,4.3,4.5,8.3,0.0,0.0,4.5,4.3,6.2,3.1,0,0.7
2025-04-17_10:38:00,46.0,45.0,46.0,45.0,46.0,45.0,44.0,45.0,44.0,3249.6,3400.0,3400.0,999.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.1,0.0,4.2,12.5,16.7,4.0,7.7,4.0,0.0,0.0,8.3,0.0,4.0,0.0,0.0,12.0,4.2,5.8,2.7,0,0.7
2025-04-17_10:38:00,46.0,45.0,46.0,45.0,46.0,45.0,44.0,45.0,44.0,3363.3,3400.0,3400.0,2007.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4205.2,9.5,0.0,4.3,30.4,13.6,0.0,0.0,8.7,4.5,0.0,4.5,0.0,4.8,0.0,0.0,9.1,71.4,16.8,13.7,0,0.7
2025-04-17_10:38:00,46.0,45.0,46.0,45.0,46.0,45.0,44.0,45.0,44.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,7.9,0.0,0.0,15.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,100.0,24.5,21.4,0,0.7
2025-04-17_10:38:01,46.0,45.0,46.0,45.0,46.0,45.0,44.0,45.0,44.0,3550.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,8.8,4.8,4.8,15.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,4.8,0.0,0.0,0.0,4.8,100.0,26.1,22.8,0,0.8
